"","model","n","prop_extreme","magnitude_level","treatment","mean_est","bias","emp_se","rmse","coverage","n_fail"
"124","logit",1000,0.05,1,"topcode",0.0021,0.0021,0.1899,0.1898,0.952,0
"125","logit",1000,0.05,2,"mean_adj",0.0059,0.0059,0.1885,0.1884,0.944,0
"126","logit",1000,0.05,2,"median_adj",-0.0006,-0.0006,0.1995,0.1993,0.94,0
"127","logit",1000,0.05,2,"raw",-0.0097,-0.0097,0.1919,0.192,0.96,0
"128","logit",1000,0.05,2,"topcode",0.0004,0.0004,0.1936,0.1934,0.952,0
"129","logit",1000,0.05,3,"mean_adj",-0.0022,-0.0022,0.1939,0.1937,0.93,0
"130","logit",1000,0.05,3,"median_adj",-0.0014,-0.0014,0.2024,0.2022,0.948,0
"131","logit",1000,0.05,3,"raw",0.0007,0.0007,0.1881,0.1879,0.958,0
"132","logit",1000,0.05,3,"topcode",0.0071,0.0071,0.1921,0.192,0.95,0
"133","logit",1000,0.1,1,"mean_adj",0.0035,0.0035,0.1974,0.1973,0.942,0
"134","logit",1000,0.1,1,"median_adj",0.0053,0.0053,0.1938,0.1937,0.952,0
"135","logit",1000,0.1,1,"raw",0.0112,0.0112,0.191,0.1911,0.948,0
"136","logit",1000,0.1,1,"topcode",-0.0121,-0.0121,0.2013,0.2014,0.938,0
"137","logit",1000,0.1,2,"mean_adj",0.0163,0.0163,0.1908,0.1913,0.95,0
"138","logit",1000,0.1,2,"median_adj",-0.0017,-0.0017,0.1891,0.1889,0.96,0
"139","logit",1000,0.1,2,"raw",-0.0041,-0.0041,0.2002,0.2001,0.934,0
"140","logit",1000,0.1,2,"topcode",-0.0099,-0.0099,0.1944,0.1944,0.95,0
"141","logit",1000,0.1,3,"mean_adj",-0.0045,-0.0045,0.1846,0.1844,0.958,0
"142","logit",1000,0.1,3,"median_adj",-0.0191,-0.0191,0.1841,0.1849,0.956,0
"143","logit",1000,0.1,3,"raw",0.0097,0.0097,0.1908,0.1909,0.954,0
"144","logit",1000,0.1,3,"topcode",0.0037,0.0037,0.1961,0.1959,0.94,0
"145","logit",2000,0.01,1,"mean_adj",-0.0051,-0.0051,0.1333,0.1332,0.95,0
"146","logit",2000,0.01,1,"median_adj",-0.0036,-0.0036,0.1388,0.1387,0.946,0
"147","logit",2000,0.01,1,"raw",0.0056,0.0056,0.1347,0.1347,0.962,0
"148","logit",2000,0.01,1,"topcode",-0.0035,-0.0035,0.1394,0.1394,0.94,0
"149","logit",2000,0.01,2,"mean_adj",0.0097,0.0097,0.1332,0.1334,0.958,0
"150","logit",2000,0.01,2,"median_adj",-0.0085,-0.0085,0.143,0.1432,0.926,0
"151","logit",2000,0.01,2,"raw",0.0066,0.0066,0.1291,0.1292,0.966,0
"152","logit",2000,0.01,2,"topcode",0.0101,0.0101,0.1281,0.1284,0.968,0
"153","logit",2000,0.01,3,"mean_adj",-0.0174,-0.0174,0.1374,0.1384,0.944,0
"154","logit",2000,0.01,3,"median_adj",0.0083,0.0083,0.1305,0.1306,0.948,0
"155","logit",2000,0.01,3,"raw",-0.0005,-0.0005,0.1417,0.1416,0.932,0
"156","logit",2000,0.01,3,"topcode",0.0095,0.0095,0.136,0.1362,0.956,0
"157","logit",2000,0.05,1,"mean_adj",-0.0006,-0.0006,0.1378,0.1377,0.95,0
"158","logit",2000,0.05,1,"median_adj",-0.004,-0.004,0.1333,0.1333,0.956,0
"159","logit",2000,0.05,1,"raw",-0.0079,-0.0079,0.1327,0.1328,0.95,0
"160","logit",2000,0.05,1,"topcode",0.009,0.009,0.1383,0.1384,0.948,0
"161","logit",2000,0.05,2,"mean_adj",0.0079,0.0079,0.1421,0.1422,0.94,0
"162","logit",2000,0.05,2,"median_adj",-0.0089,-0.0089,0.1393,0.1394,0.944,0
